sku_id,item_first_cate_cd,item_second_cate_cd,item_third_cate_cd
c8f1bedafc949312d323361ef899ccb1,652,828,841
e10024e0b156ef232dca6260e83d1c37,652,828,841
65bf525171abd8f719e6f815780cf1e3,1672,2599,1443
df248b69f9c19a39ee42ab9170577401,6728,6743,11878
6f9c0996276fb17b3400201af8656193,9192,9196,1502
d5bc8f7d00d08caa6528e67e07eec54c,1318,1463,1487
62f129d10534e554d690d1ca6c395717,1318,1463,1487
f949a856e0d0d5e6de84b4bcbda48d7e,1319,1526,7060
8b812647e3ccf01e7eef8f7e55c7e0a9,1316,1386,11923
a21c96c5dc8dff54d704e3fe751d27ca,670,729,4837
cb289d7108ea2e116b68440ff130110b,670,729,4837
55c1f9d16b625544958d2a081006d687,670,729,4837
4b3ca60a87d78ed5f01a94d8b19af6ad,1316,1387,1429
f6441a528dc194328f870a45b6b75030,1316,1387,1429
7cf18e636dcc54dc380654a008871591,1316,1387,1429
4ad52bb6141f0b5aae70cca431547717,1315,1346,12029
59f81782856769ab175d874f6c205940,1315,1346,12029
1de8d3c282f34aadd42c2989b4d228ff,9855,9857,9908
8161570f1bc4e3851d56fc8c59664bd9,12259,12260,9438
05c22474e50420ae6dc42c44a76b6414,737,1276,740
7ad6db1929bda7e47a6c1dfcfa9c709d,1320,1584,13790
e5220bc900ed8f686c39dea83039bb5f,12259,12260,9437
12811211b1bc311c40d31ffed45c8fa6,1320,1583,1594
21e326dcd54c4370fdad4ac414687b31,1320,1583,1594
699d62df074309bf7d4efea88ad8004e,9855,9859,9926
06596ffbc47a6ab86af37595fc160fa2,1316,1386,11924
5005784d38a9688ea2b2810f61c718eb,1316,1386,11924
bde30f6cdaacb23aa9bb12da34dc4f94,6196,6198,6211
9f89ece5fd6060c1fa5b5052b2b38641,670,729,731
a5e89c7b3878fb8f668298c5e9dde4ad,670,716,727
18db8239f126dfbea0efa6ecbf9ee8d7,737,1276,967
67a7db37e0f7e9560bda7978ddcdf6d0,1320,5019,5021
102a2f642c773894475cf88c3e0f24b9,737,13297,13691
36e8b13a66fda1b2c01f44ca92ba5df3,1315,1342,9736
856268899f4420e0ca9f6bad1bf9211f,1315,1342,9736
263773693e07b4518a6fbb9c34bb9fad,1315,1342,9736
205ab0d1b291a30bd468c777ee86dab9,1315,1342,9736
7ec6cdb7bf3cd2fb9921a231b36e2c81,1315,1342,9736
7968f02d71a62b3eb0a97d54452712c0,1315,1342,9736
4d4ca7caab5bc523c810820dd989d442,1315,1342,9736
ae4b3f26ec4f0740dbe9bc9d8848ed81,1315,1342,9736
5539a16cd1044696f955f4f9df2db4a7,1315,1342,9736
9bd763a147a1424fb7e0bd7ca6c44c86,1315,1342,9736
ad6ae970de1ec85bc26f35af192e7a7b,1315,1342,9736
5a4a0d4dd1684e2b5960166fcc8e14f9,1315,1342,9736
1cef60963d0d18eeb686ab06f5d65921,1315,1342,9736
5d730d01ce86ac02e0e8205f3fd2217b,1315,1342,9736
efebf6e9fc96a0711d2d925bf6ca2a11,1315,1342,9736
